,topic,tweet,tweets_cleaned
2819,soda,"""O NORDESTE ELEGEU LULA""
QUE OS PRÓXIMOS POLÍTICOS LAVEM A BOCA COM SODA CÁUSTICA ANTES DE OFENDER, AGREDIR, ATACAR E DESRESPEITAR O POVO NORDESTINO",nordeste elegeu lula que o próximos políticos lavem boca com soda cáustica ante de ofender agredir atacar e desrespeitar povo nordestino
2842,soda,"I've seen LoTR many times and remember ""run"", so reading this was wild b/c I progressed from:

1. Eric was wrong and will have to buy a lot of soda
2. I was wrong and this is the Mandela effect
3. Eric was wrong after all and still wound up winning
4. Actually idk who was wrong",ive seen lotr many time remember run reading wild bc progressed eric wrong buy lot soda wrong mandela effect eric wrong still wound winning actually idk wrong
2845,soda,@cdntradegrljenn Lol.  Wtf??  Who gives out cans of Soda? t.co/ZDmPLmejFP,cdntradegrljenn lol wtf give can soda tcozdmplmejfp
2847,soda,um sprite is the best soda ever wtf,um sprite best soda ever wtf
2853,soda,SODA WHY ARE YOU TALKING ABT CHIAKIS BODY LIKE THAT 🤨 what happened to sonia hmmm,soda talking abt chiakis body like happened sonia hmmm
2855,soda,"@Koviett I FUCKIN TOLD YOU BRO, SHIT IS LITERALLY THE SODA KILLER.",koviett fuckin told bro shit literally soda killer
2861,soda,@p1ckedbybrisker Bro living in the 1800s who calling soda pop 💀,pckedbybrisker bro living calling soda pop 
2864,soda,"@sorizzzle and I: *45 minutes late to the event*
Also us: Is Fetty saying ""I’ve got the soda"" or ""I’ve got this sewed up""🤔🤔🤔",sorizzzle minute late event also u fetty saying got soda got sewed 
2865,soda,@Qwerty_Soda You be nice to the French!,qwertysoda nice french
2866,soda,@cameronsprain This is why I drink soda instead 😤😤,cameronsprain drink soda instead 
2867,soda,@RadChad86 @TBToycast @tfowler1 @Big_Bayn @FullyPoseable @FigHNTR24_7 @Soda_hunter @anthonyvito8 @DrewVencill @n8 @StarmanNJ @BTTNintendo Hopefully better #BrettSucks,radchad tbtoycast tfowler bigbayn fullyposeable fighntr sodahunter anthonyvito drewvencill n starmannj bttnintendo hopefully better brettsucks
2871,soda,"Bun is finally home! Got some candy and soda, and now, it's spooky movie time! Starting off with this timeless classic... 🔪🎃 t.co/keUdNkhHC8",bun finally home got candy soda spooky movie time starting timeless classic tcokeudnkhhc
2877,soda,@howardtayler I add about a teaspoon of baking soda to the water before boiling. The pH apparently makes the difference and our eggs are easy to peel when I do that :),howardtayler add teaspoon baking soda water boiling ph apparently make difference egg easy peel 
2890,soda,"5 faves / 5 tags:
Movie: Avalon

Videogame: Katamari Damaci

Drink: Dr. Brown's Black Cherry Soda 

Candy: Reece's Pieces

Human: my wife, Adrienne, followed by my kids

Tagging: @mrchrishelms @vitruvianpan @chrischemist99 @christurvey @JacobWalkerArt", faves tag movie avalon videogame katamari damaci drink dr brown black cherry soda candy reeces piece human wife adrienne followed kid tagging mrchrishelms vitruvianpan chrischemist christurvey jacobwalkerart
2892,soda,"A Christmas fruit punch soda, you say?",christmas fruit punch soda say
2894,soda,@zFcBoxhead @Qwerty_Soda @zFcBoxhead ✨ Hello @zFcBoxhead your download link is ready t.co/rowlh7doSE,zfcboxhead qwertysoda zfcboxhead hello zfcboxhead download link ready tcorowlhdose
2906,soda,@JaeMargal beer and soda.  I don't like beer and juice will do for soda,jaemargal beer soda dont like beer juice soda
2912,soda,Baking soda and peroxide get u there 💪🏾. Peroxide also brings your gums from that dark brown to fresh pink 🫶🏾,baking soda peroxide get u peroxide also brings gum dark brown fresh pink 
2926,soda,@cream_soda_dot おはようございます！,creamsodadot おはようございます 
2929,soda,@robreiner Well that a couple of bucks will get you a soda. Good for you!,robreiner well couple buck get soda good
2933,soda,"@myreparationsrn true, Poppi got the best probiotic soda imo and that's only like 2.50 tops",myreparationsrn true poppi got best probiotic soda imo thats like top
2947,soda,i hope every soda you drink is already shaken up 😡,hope every soda drink already shaken 
2948,soda,@tsukifirefly you get ittttt 🤺 come at me !! let’s bet on a soda can,tsukifirefly get ittttt come let bet soda
2950,soda,"The dinette cars were essentially lunch counters on wheels, with a long counter-top, swivel seats, short-order menu and a soda fountain. Dinettes could feed passengers more efficiently and economically—albeit with less first class ambience—than a regular dining car. 2/2 t.co/mgHQhF8Iqr",dinette car essentially lunch counter wheel long countertop swivel seat shortorder menu soda fountain dinette could feed passenger efficiently economically albeit le first class ambience regular dining car tcomghqhfiqr
2960,soda,@komradeperogie Baking soda,komradeperogie baking soda
2967,soda,@cakungoppa Soda,cakungoppa soda
2969,soda,"@SydnieWells White Rum, Mint-Muddled, Raspberry Purée, topped with soda, Grand Marnier float🍹",sydniewells white rum mintmuddled raspberry purée topped soda grand marnier float 
2970,soda,just went on a first date i ordered a soda water all doe eyed and gorgeous peering up at him half a heaving breast exposed - just enough - i don’t ‘do’ substances anymore i said ‘that’s cool!’ he replied ‘isn’t it!’ i retorted before crushing him into a powder &amp; snorting his ass,went first date ordered soda water doe eyed gorgeous peering half heaving breast exposed enough substance anymore said cool replied retorted crushing powder amp snorting as
2974,soda,@ultrap0p no angel soda?,ultrapp angel soda
2986,soda,"Love song for a vampire - Annie Lennox
Wish you were here - Pink Floyd
Walking in my shoes - Depeche Mode
Crema de estrellas - Soda Stereo
A tu lado - Duncan Dhu",love song vampire annie lennox wish pink floyd walking shoe depeche mode crema de estrellas soda stereo tu lado duncan dhu
2995,soda,"@MadScientistFF Candy
Water
Soda
Sister
Brother
Friend
Sub sandwich",madscientistff candy water soda sister brother friend sub sandwich
3011,soda,"@19cream_soda 
ご応募ありがとうございます！
11/9まで使える「ウチカフェチルドカップ飲料各種20円引券」を差し上げます※「UC:ウチカフェ」ロゴが目印です。「NL:ナチュラルローソン」ロゴの商品は対象外です。
クーポンの使い方:t.co/T0LEQ0aqKr #ローソン t.co/QNb1PMMeaR",creamsoda ご応募ありがとうございます まで使える ウチカフェチルドカップ飲料各種円引券 を差し上げます ucウチカフェ ロゴが目印です nlナチュラルローソン ロゴの商品は対象外です クーポンの使い方tcotleqaqkr ローソン tcoqnbpmmear
3017,soda,@cclouiess @Louis_Tomlinson I’m listening to #LouisTomlinson          's (@Louis_Tomlinson) the single #OutOfMySystem (Out Of My System) from #FaithInTheFuture    y soda,cclouiess louistomlinson listening louistomlinson louistomlinson single outofmysystem system faithinthefuture soda
3021,soda,"@ajdukakis I’m ready to put money down.

Is there a PredictIt that Kari’s team mailed baking soda or cocaine to themselves?",ajdukakis ready put money predictit kari team mailed baking soda cocaine
3023,soda,"@616019 sodaさんおはです！☀️
今週も1週間よろしくお願い致します～✨", sodaさんおはです 今週も週間よろしくお願い致します 
3041,soda,"¡Hola a todos! Hoy te vamos a contar  Cuál es mejor Candy Crush saga o soda, es importante decir que este juego es t.co/htpGHhEtOD #trucos", hola todos hoy te vamos contar cuál e mejor candy crush saga soda e importante decir que este juego e tcohtpghhetod trucos
3046,soda,@ACTBrigitte You people joked about Paul Pelosi being attacked with a hammer. Then you cry when Cruz has a empty soda can thrown at him.,actbrigitte people joked paul pelosi attacked hammer cry cruz empty soda thrown
3050,soda,@soda_052 優勝賞品は持ってかえらせて頂きました😋,soda 優勝賞品は持ってかえらせて頂きました 
3054,soda,THURSDAY @ Soda Bar – @vanezamoraa w/ @Mmmarciii (Marta Cikojevic of @tttopsss) • 🎟: t.co/jsneZgbbak t.co/98xGqV5zSA,thursday soda bar vanezamoraa w mmmarciii marta cikojevic tttopsss tcojsnezgbbak tcoxgqvzsa
3057,soda,"#TikTokviral #TikTok
Less soda More water
Less junk More vegetables
Less driving More walking
Less Talk MORE WORK!!🏃🏾‍♂️
t.co/BecY6Yl1OF
LIKE ▪️ SHARE ▪️ COMMENT",tiktokviral tiktok le soda water le junk vegetable le driving walking le talk work tcobecyylof like share comment
3059,soda,"The Mexicans making soda 
 t.co/HmqXWPHgSf",mexican making soda tcohmqxwphgsf
3065,soda,@Sassy_Soda The cheese mix powder has the spices that make it taste delicious,sassysoda cheese mix powder spice make taste delicious
3086,soda,"🎤 Chris Martin se tatuó la icónica frase de Gustavo Cerati y Soda Stereo en su brazo derecho: ""Gracias Totales""

📷 La imagen se hizo viral a través de la confirmación de su tatuadora Zina Samoletova t.co/DmUzRoMU20", chris martin se tatuó la icónica frase de gustavo cerati soda stereo en su brazo derecho gracias totales la imagen se hizo viral través de la confirmación de su tatuadora zina samoletova tcodmuzromu
3091,soda,"Disco Club será un remolino de Soda Stereo con ""Dynamo"" t.co/fHYSUuVwt5 a través de @crestametalica",disco club será un remolino de soda stereo con dynamo tcofhysuuvwt través de crestametalica
3092,soda,"He nodded then take a small sip of his own soda which can give him sugar rush, smiling.

""You're welcome Yena!""",nodded take small sip soda give sugar rush smiling youre welcome yena
3095,soda,"Now that I have the right amount of soda, we can go ahead. t.co/Dfgb3dzbOj",right amount soda go ahead tcodfgbdzboj
3099,soda,"@GabbyPJ73 Estamos hablando de un whisky ETIQUETA AZUL (24 años). Se toma exclusivamente SECO!!! 

🔸 8 y 12 años: Se pueden mezclar con gaseosas, energizantes, soda, agua, etc.

🔸 15 y 18 años: a las rocas, no mas de 3 cubos de hielo.

🔹 21 y 24 años: SECO.",gabbypj estamos hablando de un whisky etiqueta azul años se toma exclusivamente seco años se pueden mezclar con gaseosas energizantes soda agua etc años la rocas ma de cubos de hielo años seco
3104,soda,@Full_of_Soda @KlondikeNFT 😂,fullofsoda klondikenft 
3105,soda,"@Okrutnaipodla Ciepła woda,sodą oczyszczana,sok cytrynowy i gotowe.
Wyczyści,zdezynfekuje.",okrutnaipodla ciepła wodasodą oczyszczanasok cytrynowy gotowe wyczyścizdezynfekuje
3113,soda,"@AntiPiker if i'm feeling a little silly billy i call it soda pop, but on a normal day i just say soda",antipiker im feeling little silly billy call soda pop normal day say soda
3114,soda,"One of our go-to shrimp recipes! Gambas Al Ajillo from @seriouseats .The recipe calls for marinating the shrimp in salt, baking soda, and garlic which adds juiciness and crunch, and then infusing the oil with shrimp shells and garlic for a more intense flavor
Definitely a keeper! t.co/nuZ0F09hy3",one goto shrimp recipe gamba al ajillo seriouseats recipe call marinating shrimp salt baking soda garlic add juiciness crunch infusing oil shrimp shell garlic intense flavor definitely keeper tconuzfhy
3121,soda,@itspapab Soda vs obamna,itspapab soda v obamna
3122,soda,@yuuneey i mean i did get the sans soda..,yuuneey mean get sans soda
3131,soda,"@soda_pachi
結果は…残念ながら落選😭 明日もチャレンジできます👍
⚠️ドミノから新アプリ爆誕！！⚠️​
速くて簡単！しかも今だけ新規DLで2回まで全ピザ50％OFFのアプリ限定クーポンが貰える✨ #ドミノピザ​

↓↓↓ #ドミノ新アプリ DLはこちらから🍕🍕↓↓​↓",sodapachi 結果は 残念ながら落選 明日もチャレンジできます ドミノから新アプリ爆誕 速くて簡単 しかも今だけ新規dlで回まで全ピザ offのアプリ限定クーポンが貰える ドミノピザ ドミノ新アプリ dlはこちらから 
3132,soda,"@soda_pachi さん 
ご参加ありがとうございます😊

抽選結果は動画をタップして確認❗️
特設サイトで結果を見られるよ♪

当選者の方へは後日DMをお送りいたします！

キャンペーンは11月14日まで♪",sodapachi さん ご参加ありがとうございます 抽選結果は動画をタップして確認 特設サイトで結果を見られるよ 当選者の方へは後日dmをお送りいたします キャンペーンは月日まで 
3137,soda,"@ASalepci Hazımsızlık zor iş
Alışacaksınız
Akbabalar için Ak soda t.co/JwMZNpuFfF",asalepci hazımsızlık zor iş alışacaksınız akbabalar için ak soda tcojwmznpufff
3138,soda,@Nick_Munich 😂😂😂😂 Nne soda simu nywa,nickmunich nne soda simu nywa
3142,soda,@BravoColloquium Whilst holding a jumbo soda cup…dazzling…😂😂,bravocolloquium whilst holding jumbo soda cup dazzling 
3150,soda,Pepsi/coca cola.. etc and most soda drinks,pepsicoca cola etc soda drink
3151,soda,"At least one in FIVE premature deaths are directly linked to ultra-processed foods like pizza, cakes and soda
via t.co/YJ753LHXgo t.co/TOb6PqlA34",least one five premature death directly linked ultraprocessed food like pizza cake soda via tcoyjlhxgo tcotobpqla
3152,soda,SODA KITっていう新人の歌い手のグループ気になる👀,soda kitっていう新人の歌い手のグループ気になる 
3155,soda,Folks go to prison for stealing soda or sandwiches from 7-Eleven or one will be audited by IRS for trivial stuff; what'll happen to #SamBankmanFried &amp;his posse at #FTX &amp; #AlamedaResearch is really important whether to see there's real justice in this country for people with power,folk go prison stealing soda sandwich eleven one audited irs trivial stuff whatll happen sambankmanfried amphis posse ftx amp alamedaresearch really important whether see there real justice country people power
3157,soda,The Best Built 911 operator In The arcade game. Keeps toxicology report locked up! Be a soda machine. t.co/0e3xkyNJFb,best built operator arcade game keep toxicology report locked soda machine tcoexkynjfb
3162,soda,"@GCM_soda 
ご応募ありがとうございます！
スイーツでハーピろ！11/16まで使える「ウチカフェスイーツ各種20円引券」を差し上げます。※ウチカフェロゴのあるデザートが対象。アイス、チルドカップドリンク、予約商品は対象外
クーポンの使い方:t.co/rNasqTrKQa #ローソン t.co/oq4Y9iOA5C",gcmsoda ご応募ありがとうございます スイーツでハーピろ まで使える ウチカフェスイーツ各種円引券 を差し上げます ウチカフェロゴのあるデザートが対象 アイス チルドカップドリンク 予約商品は対象外 クーポンの使い方tcornasqtrkqa ローソン tcooqyioac
3164,soda,@MoriRika46 UlikeかSODA！加工するならMeitu！,moririka ulikeかsoda 加工するならmeitu 
3166,soda,this isn't a tweet but people saying theyre addicted to diet soda/tea/etc (nothing wrong with this one just kind of unoriginal),isnt tweet people saying theyre addicted diet sodateaetc nothing wrong one kind unoriginal
3168,soda,"Sometimes I just sit and think about a soda billboard I used to see in the UK which showed bubbles working out in a bubble gym, and the tagline was something like, ""we don't let bubbles in our soda until they pass their fizzical.""",sometimes sit think soda billboard used see uk showed bubble working bubble gym tagline something like dont let bubble soda pas fizzical
3173,soda,"DIJO UN BORRACHO: De Soda Stereo aprendí que: Que No vuelvas sin razón.

t.co/6HowBVMdSC",dijo un borracho de soda stereo aprendí que que vuelvas sin razón tcohowbvmdsc
3174,soda,"DIJO UN BORRACHO: De Soda Stereo aprendí que: Que No vuelvas sin razón.

t.co/6sRvKqtgQC",dijo un borracho de soda stereo aprendí que que vuelvas sin razón tcosrvkqtgqc
3175,soda,"DIJO UN BORRACHO: De Soda Stereo aprendí que: Que No vuelvas sin razón.

t.co/lUMvxxUWeo",dijo un borracho de soda stereo aprendí que que vuelvas sin razón tcolumvxxuweo
3177,soda,"@eas_info_br @meira_nilton Se fosse soda cáustica derreteria o plástico, deve ser outra coisa ruim.",easinfobr meiranilton se fosse soda cáustica derreteria plástico deve ser outra coisa ruim
3184,soda,"@cream_soda_17
「サブウェイ×FEELCYCLEコラボキャンペーン」へのご応募ありがとうございます✨

抽選結果は動画の最後に発表📣
「サラダチキン1個・FEELCYCLE 1か月無料」が当たるチャンス❗

期間中毎日応募できます‼ t.co/59ZWnzU9oJ",creamsoda サブウェイ feelcycleコラボキャンペーン へのご応募ありがとうございます 抽選結果は動画の最後に発表 サラダチキン個 feelcycle か月無料 が当たるチャンス 期間中毎日応募できます tcozwnzuoj
3185,soda,"@maestraenfuga @Jesiksuarez Hace unos años me regalaron, ME PONGO DE PIE, la maquinita que hace soda pero compraré un sifón para tener esta joya.",maestraenfuga jesiksuarez hace unos años regalaron pongo de pie la maquinita que hace soda pero compraré un sifón para tener esta joya
3189,soda,he's a watered down vodka soda,he watered vodka soda
3191,soda,"ᴱⁿ ᵐᵒᵈᵒ ˢᵖᵒᵗⁱᶠʸ🎧
...""Efecto Doppler - Soda Stero""🎶
ᶠᵒˡˡᵒʷ😆 ᶠᴬⱽ❤️ ᴿᵀ🔁",ᴱⁿ ᵐᵒᵈᵒ ˢᵖᵒᵗⁱᶠʸ efecto doppler soda stero ᶠᵒˡˡᵒʷ ᶠᴬⱽ ᴿᵀ 
3194,soda,@WiseSBC Que es esa tier list de Soda por la chucha wise t.co/PkNkdoIfwz,wisesbc que e esa tier list de soda por la chucha wise tcopknkdoifwz
3211,soda,En la ciudad de la furia por Soda Stereo #RockYCiencia t.co/RAnUGt0sda t.co/58kGfXo5K2,en la ciudad de la furia por soda stereo rockyciencia tcoranugtsda tcokgfxok
3214,soda,"@PilarTorresAlv ""Hey dame ahí una soda""",pilartorresalv hey dame ahí una soda
3215,soda,A month and a half and I will have gone a full year without soda ✌🏽,month half gone full year without soda 
3218,soda,"ᴱⁿ ᵐᵒᵈᵒ ˢᵖᵒᵗⁱᶠʸ🎧
...""Crema de Estrellas - Soda Stero""🎶
ᶠᵒˡˡᵒʷ🤑 ᶠᴬⱽ❤️ ᴿᵀ🔁",ᴱⁿ ᵐᵒᵈᵒ ˢᵖᵒᵗⁱᶠʸ crema de estrellas soda stero ᶠᵒˡˡᵒʷ ᶠᴬⱽ ᴿᵀ 
3224,soda,"Que es esa weá de querer prestarle la cancha a magallanes? Vayan a lavarse la raja con soda caustica. El Monumental es del albo y listo. Y si quieren cancha, que paguen por ella.",que e esa weá de querer prestarle la cancha magallanes vayan lavarse la raja con soda caustica el monumental e del albo listo si quieren cancha que paguen por ella
3243,soda,@BlakeWriting Soda,blakewriting soda
3245,soda,@Full_of_Soda DONT YOU DARE,fullofsoda dont dare
3257,soda,"USGS reports a M2.19 earthquake, 14 km E of Soda Springs, Idaho on 11/14/22 @ 18:54:16 UTC t.co/XV2jCll5Qo #earthquake",usgs report earthquake km e soda spring idaho utc tcoxvjcllqo earthquake
3262,soda,@amemiyy Jajajajaja en eso estoy… ahí sus galletitas de soda y queso fresco… cosas por el estilo,amemiyy jajajajaja en eso estoy ahí sus galletitas de soda queso fresco cosas por el estilo
3263,soda,@JodyHimself999 Belcher Soda but it was discontinued. Also whoever said “spright”,jodyhimself belcher soda discontinued also whoever said spright 
3270,soda,"@AlessioEzhar @belajarlagiHQ Kemasan kaca itu palinv bisa mempertahankan konsistensi.. 

Contohnya Soda yg dipakai mekdi, kebetulan saya eks perusahaan soda nya.. 

Kemasan selain kaca dan kaleng, bakalan cepat menurun cita rasanya karena semacam pori2 mikro atau apalah namanya yg jadi jalan keluar",alessioezhar belajarlagihq kemasan kaca itu palinv bisa mempertahankan konsistensi contohnya soda yg dipakai mekdi kebetulan saya eks perusahaan soda nya kemasan selain kaca dan kaleng bakalan cepat menurun cita rasanya karena semacam pori mikro atau apalah namanya yg jadi jalan keluar
3271,soda,@BlackLabelAdvsr WOAH! I am a huge energy drink and soda drinker. Would love to know more when the details are available,blacklabeladvsr woah huge energy drink soda drinker would love know detail available
3277,soda,@MikeRMedici Don’t forget diet soda,mikermedici forget diet soda
3278,soda,"@cream_soda_ooo

ご応募ありがとうございます！
残念ながらハズレです💦

✨参加賞として、お得なクーポンを進呈✨

①下のクーポン画像をタップ
②Twitter認証画面でログイン
※@welcia_jp のフォロー必須
③クーポン利用画面が開く
④店舗にご来店頂き、対象商品ご購入時にレジにてご利用ください",creamsodaooo ご応募ありがとうございます 残念ながらハズレです 参加賞として お得なクーポンを進呈 ①下のクーポン画像をタップ ②twitter認証画面でログイン welciajp のフォロー必須 ③クーポン利用画面が開く ④店舗にご来店頂き 対象商品ご購入時にレジにてご利用ください
3280,soda,@dnoonan222 Lol not a soda my guy but good choice!,dnoonan lol soda guy good choice
3285,soda,It is because any Eat can remember moments where is Soda. On 1000 years remember in back way.,eat remember moment soda year remember back way
3287,soda,"@haro_mirna @alberto_mario68 @colibri_7630 @lobo_armand @gargon1130 @DyAnNaZz @Lucrecia1Borgia @Lu_sein_45 @Moonlight_Blue4 @sele_nuska @OlimpiaHku @07_Vampira @HaroMirna @artdesing16_2 @AMusicalFish @KhalyTargaryen @inesperado07 @PATYTADEPERRO2 @IlixIleana @G3rry_Punisher @MFeuma @Correctivo3 @gurudeportes30 @gog_antonio @nnunezortiz @Melody30570617 @LucaVillarrea12 @morozi @Aletse_Vzq @CioaraMinunata @Aletse_04 @areliron @BegoGM6 @lvillegas0308 @Yovis180 @parcinie07 @HctorDanielV1 @G3rry_Punisher2 @SoyMagoPaz1 @IngGonzaloCort2 @Metydemhijos @IVertebra @Misa_Michonne @MycroftHolmesB @itzeles_itzel @Haltart Gracias mi Querida Mirna! @haro_mirna Sin ser experta en poner mis preferidas del Rock!! Que me encanta!! Todo lo de Soda Stereo me fascina!! #RockOnTwitter
Abrazo Enorme! 👋☺🙌💞 t.co/0VsqxJ7jJN",haromirna albertomario colibri loboarmand gargon dyannazz lucreciaborgia lusein moonlightblue selenuska olimpiahku vampira haromirna artdesing amusicalfish khalytargaryen inesperado patytadeperro ilixileana grrypunisher mfeuma correctivo gurudeportes gogantonio nnunezortiz melody lucavillarrea morozi aletsevzq cioaraminunata aletse areliron begogm lvillegas yovis parcinie hctordanielv grrypunisher soymagopaz inggonzalocort metydemhijos ivertebra misamichonne mycroftholmesb itzelesitzel haltart gracias mi querida mirna haromirna sin ser experta en poner mi preferidas del rock que encanta todo lo de soda stereo fascina rockontwitter abrazo enorme tcovsqxjjjn
3293,soda,You know Soda. With this Eat stand more Good. But try get out Soda and eat stand yet more good on looks but you just think that be in back way,know soda eat stand good try get soda eat stand yet good look think back way
3294,soda,Sam’s Club soda and hot dog combo now cheaper than Costco t.co/2u9XK9HhUs,sam club soda hot dog combo cheaper costco tcouxkhhus
3295,soda,@amyelizabxth_ @ReadySetReedy @manscaped I just spat out a soda reading this 😂,amyelizabxth readysetreedy manscaped spat soda reading 
3301,soda,"@cream_soda_ooo 
ご応募ありがとうございます！
11/23まで使える「対象のオリジナルローソン菓子いずれか1個20円引券」を差し上げます
クーポンの使い方:t.co/L6v2UHUSfP #ローソン t.co/er4edQyawZ",creamsodaooo ご応募ありがとうございます まで使える 対象のオリジナルローソン菓子いずれか個円引券 を差し上げます クーポンの使い方tcolvuhusfp ローソン tcoeredqyawz
3305,soda,"@cream_soda_ooo ご参加ありがとうございます✨ 
抽選結果は下部の画像をタップ😍

当選者には後ほどDMをお届け📩
12/9まで毎日チャレンジしてくださいね🎯

👇抽選結果を見る👇",creamsodaooo ご参加ありがとうございます 抽選結果は下部の画像をタップ 当選者には後ほどdmをお届け まで毎日チャレンジしてくださいね 抽選結果を見る 
3306,soda,@yf18__ Fr bring a soda 😋🤣,yf fr bring soda 
3309,soda,"ᴱⁿ ᵐᵒᵈᵒ ˢᵖᵒᵗⁱᶠʸ🎧
...""Planeador - Soda Stero""🎶
ᶠᵒˡˡᵒʷ😁 ᶠᴬⱽ❤️ ᴿᵀ🔁",ᴱⁿ ᵐᵒᵈᵒ ˢᵖᵒᵗⁱᶠʸ planeador soda stero ᶠᵒˡˡᵒʷ ᶠᴬⱽ ᴿᵀ 
3317,soda,Sam's Club is taking on Costco's famous $1.50 hot dog and soda—by lowering its own combo to $1.38 t.co/y9FWaxTL3n,sam club taking costcos famous hot dog soda lowering combo tcoyfwaxtln
3318,soda,"RX soda, cars, planes, knives, dogs I can keep going",rx soda car plane knife dog keep going
3319,soda,was thinking about how i wanted a nice crisp diet coke and picked up food for a family member and got a free soda 🙏🏼,thinking wanted nice crisp diet coke picked food family member got free soda 
3321,soda,CARTOON: Hear This! ~ by Joseph Dottino  Also may I have the whole can of soda? Today's cartoon by Joseph Dottino. t.co/jw1QYc9ybu #airline,cartoon hear joseph dottino also may whole soda today cartoon joseph dottino tcojwqycybu airline
3323,soda,"@cream_soda_ooo ありがとうございます😊
よろしくお願いします✨",creamsodaooo ありがとうございます よろしくお願いします 
3326,soda,I been eating so bad. It’s just been cake and soda.,eating bad cake soda
3327,soda,"[📣당첨자 발표]
#Dr_K &lt;그 용사가 세계를 지키는 방법&gt; 전사 출간 이벤트 당첨자 발표❣
📕t.co/KVkYR8n44J

🎉바다소다 @ocean_soda 님 축하드립니다!🎉
DM 주세요~!

❕2주 내에 답신이 없을 경우 당첨이 취소됩니다. t.co/vWw28WLFx1", 당첨자 발표 drk lt그 용사가 세계를 지키는 방법gt 전사 출간 이벤트 당첨자 발표 tcokvkyrnj 바다소다 oceansoda 님 축하드립니다 dm 주세요 주 내에 답신이 없을 경우 당첨이 취소됩니다 tcovwwwlfx
3328,soda,Water vs Diet Soda: Which is Better for Weight Loss? #Health #WeightLoss #Diet #LoseWeight #Fitness t.co/Dt02VgCRF0,water v diet soda better weight loss health weightloss diet loseweight fitness tcodtvgcrf
3333,soda,"@soda_pachi 
ご応募ありがとうございます！
11/23まで使える「対象のオリジナルローソン菓子いずれか1個20円引券」を差し上げます
クーポンの使い方:t.co/vdoPQD1g2K #ローソン t.co/qykWaM7mKI",sodapachi ご応募ありがとうございます まで使える 対象のオリジナルローソン菓子いずれか個円引券 を差し上げます クーポンの使い方tcovdopqdgk ローソン tcoqykwammki
3339,soda,"Struggle bugging hard after cleaning the bathroom. Didn’t even finish it, mind you! Just threw literal handfuls of bicarbonate soda at the walls and went to scrub town.",struggle bugging hard cleaning bathroom even finish mind threw literal handful bicarbonate soda wall went scrub town
3341,soda,"@soda_chan1016 ？
大丈夫？何かあった？",sodachan 大丈夫 何かあった 
3343,soda,@estapersonita Jajajajaja te re entiendo! Me puse mal mientras tomaba el café pensando que queria tomar soda pero no en un frasco!!,estapersonita jajajajaja te entiendo puse mal mientras tomaba el café pensando que queria tomar soda pero en un frasco
3347,soda,"saya gak pernah minum susu soda, sekalinya minum sampe tumpeh-tumpeh",saya gak pernah minum susu soda sekalinya minum sampe tumpehtumpeh
3356,soda,Ella me dió una soda envenenada… #musicalways,ella dió una soda envenenada musicalways
3363,soda,"@BentDepraved @Nuddanomics @hrhpotatosalid @KaylaChowShow @TLW_Greywolf @noshitshow1 @Grape_soda @aaron8301 @BalkrishnaP @AndyWalker67 @wrestlechick207 @Rockster_67 @WMS56048028 @UniversalCandid Butt plugs, you say? Story, you say?",bentdepraved nuddanomics hrhpotatosalid kaylachowshow tlwgreywolf noshitshow grapesoda aaron balkrishnap andywalker wrestlechick rockster wms universalcandid butt plug say story say
3365,soda,Dr. Pepper and Pepsi are god tier soda,dr pepper pepsi god tier soda
3367,soda,my s/o spilled zero soda all over my new squishmallow :( how do i clean it? i’m afraid to put it in the washer and dryer lmao,spilled zero soda new squishmallow clean afraid put washer dryer lmao
3373,soda,@Gabo_Tronquito Soda estéreo,gabotronquito soda estéreo
3376,soda,"@JonathanGins27 It can
Just pour a big love of it on to some wet baking soda and stand back. Actually, don't do that lol",jonathangins pour big love wet baking soda stand back actually dont lol
3378,soda,"@apple_soda_half 
ご応募ありがとうございます！
11/23まで使える「対象のオリジナルローソン菓子いずれか1個20円引券」を差し上げます
クーポンの使い方:t.co/NJClm2hYMl #ローソン t.co/OjbXJuWiG5",applesodahalf ご応募ありがとうございます まで使える 対象のオリジナルローソン菓子いずれか個円引券 を差し上げます クーポンの使い方tconjclmhyml ローソン tcoojbxjuwig
3380,soda,"@B52Malmet Yep, me too, I'm over it, I don't think he will ever do one minute in jail. I just hope the burgers and diet soda's work their magic on his ass....QUICK.",bmalmet yep im dont think ever one minute jail hope burger diet soda work magic assquick
3381,soda,"no sé ustedes, pero me encanta cuando la soda está escarchada ;; 
aaaa",sé ustedes pero encanta cuando la soda está escarchada aaaa
3390,soda,I have a crush on orange soda,crush orange soda
3393,soda,"“Or did that worker seem familiar?”

“You think so?” Eijiro blinked. “I think needed to relax. Sounded like he really didn’t want to be here at all.”

“Yeah…” Izuku took a large sip of his soda. Cherry Vanilla Coke. His favorite when watching a movie. But… he never ordered it.", worker seem familiar think eijiro blinked think needed relax sounded like really want yeah izuku took large sip soda cherry vanilla coke favorite watching movie never ordered
