,topic,tweet,tweet_stemmed
3104,soda,@Full_of_Soda @KlondikeNFT 😂,"['fullofsoda', 'klondikenft', '']"
3105,soda,"@Okrutnaipodla Ciepła woda,sodą oczyszczana,sok cytrynowy i gotowe.
Wyczyści,zdezynfekuje.","['okrutnaipodla', 'ciepła', 'wodasodą', 'oczyszczanasok', 'cytrynowi', 'gotow', 'wyczyścizdezynfekuj']"
3113,soda,"@AntiPiker if i'm feeling a little silly billy i call it soda pop, but on a normal day i just say soda","['antipik', 'im', 'feel', 'littl', 'silli', 'billi', 'call', 'soda', 'pop', 'normal', 'day', 'say', 'soda']"
3114,soda,"One of our go-to shrimp recipes! Gambas Al Ajillo from @seriouseats .The recipe calls for marinating the shrimp in salt, baking soda, and garlic which adds juiciness and crunch, and then infusing the oil with shrimp shells and garlic for a more intense flavor
Definitely a keeper! t.co/nuZ0F09hy3","['one', 'goto', 'shrimp', 'recip', 'gamba', 'al', 'ajillo', 'seriouseat', 'recip', 'call', 'marin', 'shrimp', 'salt', 'bake', 'soda', 'garlic', 'add', 'juici', 'crunch', 'infus', 'oil', 'shrimp', 'shell', 'garlic', 'intens', 'flavor', 'definit', 'keeper', 'tconuzfhi']"
3121,soda,@itspapab Soda vs obamna,"['itspapab', 'soda', 'vs', 'obamna']"
3122,soda,@yuuneey i mean i did get the sans soda..,"['yuuneey', 'mean', 'get', 'san', 'soda']"
3131,soda,"@soda_pachi
結果は…残念ながら落選😭 明日もチャレンジできます👍
⚠️ドミノから新アプリ爆誕！！⚠️​
速くて簡単！しかも今だけ新規DLで2回まで全ピザ50％OFFのアプリ限定クーポンが貰える✨ #ドミノピザ​

↓↓↓ #ドミノ新アプリ DLはこちらから🍕🍕↓↓​↓","['sodapachi', '結果は', '残念ながら落選', '明日もチャレンジできます', 'ドミノから新アプリ爆誕', '速くて簡単', 'しかも今だけ新規dlで回まで全ピザ', 'offのアプリ限定クーポンが貰える', 'ドミノピザ', 'ドミノ新アプリ', 'dlはこちらから', '']"
3132,soda,"@soda_pachi さん 
ご参加ありがとうございます😊

抽選結果は動画をタップして確認❗️
特設サイトで結果を見られるよ♪

当選者の方へは後日DMをお送りいたします！

キャンペーンは11月14日まで♪","['sodapachi', 'さん', 'ご参加ありがとうございます', '抽選結果は動画をタップして確認', '特設サイトで結果を見られるよ', '当選者の方へは後日dmをお送りいたします', 'キャンペーンは月日まで', '']"
3137,soda,"@ASalepci Hazımsızlık zor iş
Alışacaksınız
Akbabalar için Ak soda t.co/JwMZNpuFfF","['asalepci', 'hazımsızlık', 'zor', 'iş', 'alışacaksınız', 'akbabalar', 'için', 'ak', 'soda', 'tcojwmznpufff']"
3138,soda,@Nick_Munich 😂😂😂😂 Nne soda simu nywa,"['nickmunich', 'nne', 'soda', 'simu', 'nywa']"
3142,soda,@BravoColloquium Whilst holding a jumbo soda cup…dazzling…😂😂,"['bravocolloquium', 'whilst', 'hold', 'jumbo', 'soda', 'cup', 'dazzl', '']"
3150,soda,Pepsi/coca cola.. etc and most soda drinks,"['pepsicoca', 'cola', 'etc', 'soda', 'drink']"
3151,soda,"At least one in FIVE premature deaths are directly linked to ultra-processed foods like pizza, cakes and soda
via t.co/YJ753LHXgo t.co/TOb6PqlA34","['least', 'one', 'five', 'prematur', 'death', 'directli', 'link', 'ultraprocess', 'food', 'like', 'pizza', 'cake', 'soda', 'via', 'tcoyjlhxgo', 'tcotobpqla']"
3152,soda,SODA KITっていう新人の歌い手のグループ気になる👀,"['soda', 'kitっていう新人の歌い手のグループ気になる', '']"
3155,soda,Folks go to prison for stealing soda or sandwiches from 7-Eleven or one will be audited by IRS for trivial stuff; what'll happen to #SamBankmanFried &amp;his posse at #FTX &amp; #AlamedaResearch is really important whether to see there's real justice in this country for people with power,"['folk', 'go', 'prison', 'steal', 'soda', 'sandwich', 'eleven', 'one', 'audit', 'ir', 'trivial', 'stuff', 'whatll', 'happen', 'sambankmanfri', 'amphi', 'poss', 'ftx', 'amp', 'alamedaresearch', 'realli', 'import', 'whether', 'see', 'there', 'real', 'justic', 'countri', 'peopl', 'power']"
3157,soda,The Best Built 911 operator In The arcade game. Keeps toxicology report locked up! Be a soda machine. t.co/0e3xkyNJFb,"['best', 'built', 'oper', 'arcad', 'game', 'keep', 'toxicolog', 'report', 'lock', 'soda', 'machin', 'tcoexkynjfb']"
3162,soda,"@GCM_soda 
ご応募ありがとうございます！
スイーツでハーピろ！11/16まで使える「ウチカフェスイーツ各種20円引券」を差し上げます。※ウチカフェロゴのあるデザートが対象。アイス、チルドカップドリンク、予約商品は対象外
クーポンの使い方:t.co/rNasqTrKQa #ローソン t.co/oq4Y9iOA5C","['gcmsoda', 'ご応募ありがとうございます', 'スイーツでハーピろ', 'まで使える', 'ウチカフェスイーツ各種円引券', 'を差し上げます', 'ウチカフェロゴのあるデザートが対象', 'アイス', 'チルドカップドリンク', '予約商品は対象外', 'クーポンの使い方tcornasqtrkqa', 'ローソン', 'tcooqyioac']"
3164,soda,@MoriRika46 UlikeかSODA！加工するならMeitu！,"['moririka', 'ulikeかsoda', '加工するならmeitu', '']"
3166,soda,this isn't a tweet but people saying theyre addicted to diet soda/tea/etc (nothing wrong with this one just kind of unoriginal),"['isnt', 'tweet', 'peopl', 'say', 'theyr', 'addict', 'diet', 'sodateaetc', 'noth', 'wrong', 'one', 'kind', 'unorigin']"
3168,soda,"Sometimes I just sit and think about a soda billboard I used to see in the UK which showed bubbles working out in a bubble gym, and the tagline was something like, ""we don't let bubbles in our soda until they pass their fizzical.""","['sometim', 'sit', 'think', 'soda', 'billboard', 'use', 'see', 'uk', 'show', 'bubbl', 'work', 'bubbl', 'gym', 'taglin', 'someth', 'like', 'dont', 'let', 'bubbl', 'soda', 'pass', 'fizzic']"
3173,soda,"DIJO UN BORRACHO: De Soda Stereo aprendí que: Que No vuelvas sin razón.

t.co/6HowBVMdSC","['dijo', 'un', 'borracho', 'de', 'soda', 'stereo', 'aprendí', 'que', 'que', 'vuelva', 'sin', 'razón', 'tcohowbvmdsc']"
3174,soda,"DIJO UN BORRACHO: De Soda Stereo aprendí que: Que No vuelvas sin razón.

t.co/6sRvKqtgQC","['dijo', 'un', 'borracho', 'de', 'soda', 'stereo', 'aprendí', 'que', 'que', 'vuelva', 'sin', 'razón', 'tcosrvkqtgqc']"
3175,soda,"DIJO UN BORRACHO: De Soda Stereo aprendí que: Que No vuelvas sin razón.

t.co/lUMvxxUWeo","['dijo', 'un', 'borracho', 'de', 'soda', 'stereo', 'aprendí', 'que', 'que', 'vuelva', 'sin', 'razón', 'tcolumvxxuweo']"
3177,soda,"@eas_info_br @meira_nilton Se fosse soda cáustica derreteria o plástico, deve ser outra coisa ruim.","['easinfobr', 'meiranilton', 'se', 'foss', 'soda', 'cáustica', 'derreteria', 'plástico', 'deve', 'ser', 'outra', 'coisa', 'ruim']"
3184,soda,"@cream_soda_17
「サブウェイ×FEELCYCLEコラボキャンペーン」へのご応募ありがとうございます✨

抽選結果は動画の最後に発表📣
「サラダチキン1個・FEELCYCLE 1か月無料」が当たるチャンス❗

期間中毎日応募できます‼ t.co/59ZWnzU9oJ","['creamsoda', 'サブウェイ', 'feelcycleコラボキャンペーン', 'へのご応募ありがとうございます', '抽選結果は動画の最後に発表', 'サラダチキン個', 'feelcycl', 'か月無料', 'が当たるチャンス', '期間中毎日応募できます', 'tcozwnzuoj']"
3185,soda,"@maestraenfuga @Jesiksuarez Hace unos años me regalaron, ME PONGO DE PIE, la maquinita que hace soda pero compraré un sifón para tener esta joya.","['maestraenfuga', 'jesiksuarez', 'hace', 'uno', 'año', 'regalaron', 'pongo', 'de', 'pie', 'la', 'maquinita', 'que', 'hace', 'soda', 'pero', 'compraré', 'un', 'sifón', 'para', 'tener', 'esta', 'joya']"
3189,soda,he's a watered down vodka soda,"['he', 'water', 'vodka', 'soda']"
3191,soda,"ᴱⁿ ᵐᵒᵈᵒ ˢᵖᵒᵗⁱᶠʸ🎧
...""Efecto Doppler - Soda Stero""🎶
ᶠᵒˡˡᵒʷ😆 ᶠᴬⱽ❤️ ᴿᵀ🔁","['ᴱⁿ', 'ᵐᵒᵈᵒ', 'ˢᵖᵒᵗⁱᶠʸ', 'efecto', 'doppler', 'soda', 'stero', 'ᶠᵒˡˡᵒʷ', 'ᶠᴬⱽ', 'ᴿᵀ', '']"
3194,soda,@WiseSBC Que es esa tier list de Soda por la chucha wise t.co/PkNkdoIfwz,"['wisesbc', 'que', 'es', 'esa', 'tier', 'list', 'de', 'soda', 'por', 'la', 'chucha', 'wise', 'tcopknkdoifwz']"
3211,soda,En la ciudad de la furia por Soda Stereo #RockYCiencia t.co/RAnUGt0sda t.co/58kGfXo5K2,"['en', 'la', 'ciudad', 'de', 'la', 'furia', 'por', 'soda', 'stereo', 'rockyciencia', 'tcoranugtsda', 'tcokgfxok']"
3214,soda,"@PilarTorresAlv ""Hey dame ahí una soda""","['pilartorresalv', 'hey', 'dame', 'ahí', 'una', 'soda']"
3215,soda,A month and a half and I will have gone a full year without soda ✌🏽,"['month', 'half', 'gone', 'full', 'year', 'without', 'soda', '']"
3218,soda,"ᴱⁿ ᵐᵒᵈᵒ ˢᵖᵒᵗⁱᶠʸ🎧
...""Crema de Estrellas - Soda Stero""🎶
ᶠᵒˡˡᵒʷ🤑 ᶠᴬⱽ❤️ ᴿᵀ🔁","['ᴱⁿ', 'ᵐᵒᵈᵒ', 'ˢᵖᵒᵗⁱᶠʸ', 'crema', 'de', 'estrella', 'soda', 'stero', 'ᶠᵒˡˡᵒʷ', 'ᶠᴬⱽ', 'ᴿᵀ', '']"
3224,soda,"Que es esa weá de querer prestarle la cancha a magallanes? Vayan a lavarse la raja con soda caustica. El Monumental es del albo y listo. Y si quieren cancha, que paguen por ella.","['que', 'es', 'esa', 'weá', 'de', 'querer', 'prestarl', 'la', 'cancha', 'magallan', 'vayan', 'lavars', 'la', 'raja', 'con', 'soda', 'caustica', 'el', 'monument', 'es', 'del', 'albo', 'listo', 'si', 'quieren', 'cancha', 'que', 'paguen', 'por', 'ella']"
3243,soda,@BlakeWriting Soda,"['blakewrit', 'soda']"
3245,soda,@Full_of_Soda DONT YOU DARE,"['fullofsoda', 'dont', 'dare']"
3257,soda,"USGS reports a M2.19 earthquake, 14 km E of Soda Springs, Idaho on 11/14/22 @ 18:54:16 UTC t.co/XV2jCll5Qo #earthquake","['usg', 'report', 'earthquak', 'km', 'e', 'soda', 'spring', 'idaho', 'utc', 'tcoxvjcllqo', 'earthquak']"
3262,soda,@amemiyy Jajajajaja en eso estoy… ahí sus galletitas de soda y queso fresco… cosas por el estilo,"['amemiyi', 'jajajajaja', 'en', 'eso', 'estoy', 'ahí', 'su', 'galletita', 'de', 'soda', 'queso', 'fresco', 'cosa', 'por', 'el', 'estilo']"
3263,soda,@JodyHimself999 Belcher Soda but it was discontinued. Also whoever said “spright”,"['jodyhimself', 'belcher', 'soda', 'discontinu', 'also', 'whoever', 'said', 'spright', '']"
3270,soda,"@AlessioEzhar @belajarlagiHQ Kemasan kaca itu palinv bisa mempertahankan konsistensi.. 

Contohnya Soda yg dipakai mekdi, kebetulan saya eks perusahaan soda nya.. 

Kemasan selain kaca dan kaleng, bakalan cepat menurun cita rasanya karena semacam pori2 mikro atau apalah namanya yg jadi jalan keluar","['alessioezhar', 'belajarlagihq', 'kemasan', 'kaca', 'itu', 'palinv', 'bisa', 'mempertahankan', 'konsistensi', 'contohnya', 'soda', 'yg', 'dipakai', 'mekdi', 'kebetulan', 'saya', 'ek', 'perusahaan', 'soda', 'nya', 'kemasan', 'selain', 'kaca', 'dan', 'kaleng', 'bakalan', 'cepat', 'menurun', 'cita', 'rasanya', 'karena', 'semacam', 'pori', 'mikro', 'atau', 'apalah', 'namanya', 'yg', 'jadi', 'jalan', 'keluar']"
3271,soda,@BlackLabelAdvsr WOAH! I am a huge energy drink and soda drinker. Would love to know more when the details are available,"['blacklabeladvsr', 'woah', 'huge', 'energi', 'drink', 'soda', 'drinker', 'would', 'love', 'know', 'detail', 'avail']"
3277,soda,@MikeRMedici Don’t forget diet soda,"['mikermedici', 'forget', 'diet', 'soda']"
3278,soda,"@cream_soda_ooo

ご応募ありがとうございます！
残念ながらハズレです💦

✨参加賞として、お得なクーポンを進呈✨

①下のクーポン画像をタップ
②Twitter認証画面でログイン
※@welcia_jp のフォロー必須
③クーポン利用画面が開く
④店舗にご来店頂き、対象商品ご購入時にレジにてご利用ください","['creamsodaooo', 'ご応募ありがとうございます', '残念ながらハズレです', '参加賞として', 'お得なクーポンを進呈', '①下のクーポン画像をタップ', '②twitter認証画面でログイン', 'welciajp', 'のフォロー必須', '③クーポン利用画面が開く', '④店舗にご来店頂き', '対象商品ご購入時にレジにてご利用ください']"
3280,soda,@dnoonan222 Lol not a soda my guy but good choice!,"['dnoonan', 'lol', 'soda', 'guy', 'good', 'choic']"
3285,soda,It is because any Eat can remember moments where is Soda. On 1000 years remember in back way.,"['eat', 'rememb', 'moment', 'soda', 'year', 'rememb', 'back', 'way']"
3287,soda,"@haro_mirna @alberto_mario68 @colibri_7630 @lobo_armand @gargon1130 @DyAnNaZz @Lucrecia1Borgia @Lu_sein_45 @Moonlight_Blue4 @sele_nuska @OlimpiaHku @07_Vampira @HaroMirna @artdesing16_2 @AMusicalFish @KhalyTargaryen @inesperado07 @PATYTADEPERRO2 @IlixIleana @G3rry_Punisher @MFeuma @Correctivo3 @gurudeportes30 @gog_antonio @nnunezortiz @Melody30570617 @LucaVillarrea12 @morozi @Aletse_Vzq @CioaraMinunata @Aletse_04 @areliron @BegoGM6 @lvillegas0308 @Yovis180 @parcinie07 @HctorDanielV1 @G3rry_Punisher2 @SoyMagoPaz1 @IngGonzaloCort2 @Metydemhijos @IVertebra @Misa_Michonne @MycroftHolmesB @itzeles_itzel @Haltart Gracias mi Querida Mirna! @haro_mirna Sin ser experta en poner mis preferidas del Rock!! Que me encanta!! Todo lo de Soda Stereo me fascina!! #RockOnTwitter
Abrazo Enorme! 👋☺🙌💞 t.co/0VsqxJ7jJN","['haromirna', 'albertomario', 'colibri', 'loboarmand', 'gargon', 'dyannazz', 'lucreciaborgia', 'lusein', 'moonlightblu', 'selenuska', 'olimpiahku', 'vampira', 'haromirna', 'artdes', 'amusicalfish', 'khalytargaryen', 'inesperado', 'patytadeperro', 'ilixileana', 'grrypunish', 'mfeuma', 'correctivo', 'gurudeport', 'gogantonio', 'nnunezortiz', 'melodi', 'lucavillarrea', 'morozi', 'aletsevzq', 'cioaraminunata', 'alets', 'areliron', 'begogm', 'lvillega', 'yovi', 'parcini', 'hctordanielv', 'grrypunish', 'soymagopaz', 'inggonzalocort', 'metydemhijo', 'ivertebra', 'misamichonn', 'mycroftholmesb', 'itzelesitzel', 'haltart', 'gracia', 'mi', 'querida', 'mirna', 'haromirna', 'sin', 'ser', 'experta', 'en', 'poner', 'mi', 'preferida', 'del', 'rock', 'que', 'encanta', 'todo', 'lo', 'de', 'soda', 'stereo', 'fascina', 'rockontwitt', 'abrazo', 'enorm', 'tcovsqxjjjn']"
3293,soda,You know Soda. With this Eat stand more Good. But try get out Soda and eat stand yet more good on looks but you just think that be in back way,"['know', 'soda', 'eat', 'stand', 'good', 'tri', 'get', 'soda', 'eat', 'stand', 'yet', 'good', 'look', 'think', 'back', 'way']"
3294,soda,Sam’s Club soda and hot dog combo now cheaper than Costco t.co/2u9XK9HhUs,"['sam', 'club', 'soda', 'hot', 'dog', 'combo', 'cheaper', 'costco', 'tcouxkhhu']"
3295,soda,@amyelizabxth_ @ReadySetReedy @manscaped I just spat out a soda reading this 😂,"['amyelizabxth', 'readysetreedi', 'manscap', 'spat', 'soda', 'read', '']"
3301,soda,"@cream_soda_ooo 
ご応募ありがとうございます！
11/23まで使える「対象のオリジナルローソン菓子いずれか1個20円引券」を差し上げます
クーポンの使い方:t.co/L6v2UHUSfP #ローソン t.co/er4edQyawZ","['creamsodaooo', 'ご応募ありがとうございます', 'まで使える', '対象のオリジナルローソン菓子いずれか個円引券', 'を差し上げます', 'クーポンの使い方tcolvuhusfp', 'ローソン', 'tcoeredqyawz']"
3305,soda,"@cream_soda_ooo ご参加ありがとうございます✨ 
抽選結果は下部の画像をタップ😍

当選者には後ほどDMをお届け📩
12/9まで毎日チャレンジしてくださいね🎯

👇抽選結果を見る👇","['creamsodaooo', 'ご参加ありがとうございます', '抽選結果は下部の画像をタップ', '当選者には後ほどdmをお届け', 'まで毎日チャレンジしてくださいね', '抽選結果を見る', '']"
3306,soda,@yf18__ Fr bring a soda 😋🤣,"['yf', 'fr', 'bring', 'soda', '']"
3309,soda,"ᴱⁿ ᵐᵒᵈᵒ ˢᵖᵒᵗⁱᶠʸ🎧
...""Planeador - Soda Stero""🎶
ᶠᵒˡˡᵒʷ😁 ᶠᴬⱽ❤️ ᴿᵀ🔁","['ᴱⁿ', 'ᵐᵒᵈᵒ', 'ˢᵖᵒᵗⁱᶠʸ', 'planeador', 'soda', 'stero', 'ᶠᵒˡˡᵒʷ', 'ᶠᴬⱽ', 'ᴿᵀ', '']"
3317,soda,Sam's Club is taking on Costco's famous $1.50 hot dog and soda—by lowering its own combo to $1.38 t.co/y9FWaxTL3n,"['sam', 'club', 'take', 'costco', 'famou', 'hot', 'dog', 'soda', 'lower', 'combo', 'tcoyfwaxtln']"
3318,soda,"RX soda, cars, planes, knives, dogs I can keep going","['rx', 'soda', 'car', 'plane', 'knive', 'dog', 'keep', 'go']"
3319,soda,was thinking about how i wanted a nice crisp diet coke and picked up food for a family member and got a free soda 🙏🏼,"['think', 'want', 'nice', 'crisp', 'diet', 'coke', 'pick', 'food', 'famili', 'member', 'got', 'free', 'soda', '']"
3321,soda,CARTOON: Hear This! ~ by Joseph Dottino  Also may I have the whole can of soda? Today's cartoon by Joseph Dottino. t.co/jw1QYc9ybu #airline,"['cartoon', 'hear', 'joseph', 'dottino', 'also', 'may', 'whole', 'soda', 'today', 'cartoon', 'joseph', 'dottino', 'tcojwqycybu', 'airlin']"
3323,soda,"@cream_soda_ooo ありがとうございます😊
よろしくお願いします✨","['creamsodaooo', 'ありがとうございます', 'よろしくお願いします', '']"
3326,soda,I been eating so bad. It’s just been cake and soda.,"['eat', 'bad', 'cake', 'soda']"
3327,soda,"[📣당첨자 발표]
#Dr_K &lt;그 용사가 세계를 지키는 방법&gt; 전사 출간 이벤트 당첨자 발표❣
📕t.co/KVkYR8n44J

🎉바다소다 @ocean_soda 님 축하드립니다!🎉
DM 주세요~!

❕2주 내에 답신이 없을 경우 당첨이 취소됩니다. t.co/vWw28WLFx1","['', '당첨자', '발표', 'drk', 'lt그', '용사가', '세계를', '지키는', '방법gt', '전사', '출간', '이벤트', '당첨자', '발표', 'tcokvkyrnj', '바다소다', 'oceansoda', '님', '축하드립니다', 'dm', '주세요', '주', '내에', '답신이', '없을', '경우', '당첨이', '취소됩니다', 'tcovwwwlfx']"
3328,soda,Water vs Diet Soda: Which is Better for Weight Loss? #Health #WeightLoss #Diet #LoseWeight #Fitness t.co/Dt02VgCRF0,"['water', 'vs', 'diet', 'soda', 'better', 'weight', 'loss', 'health', 'weightloss', 'diet', 'loseweight', 'fit', 'tcodtvgcrf']"
3333,soda,"@soda_pachi 
ご応募ありがとうございます！
11/23まで使える「対象のオリジナルローソン菓子いずれか1個20円引券」を差し上げます
クーポンの使い方:t.co/vdoPQD1g2K #ローソン t.co/qykWaM7mKI","['sodapachi', 'ご応募ありがとうございます', 'まで使える', '対象のオリジナルローソン菓子いずれか個円引券', 'を差し上げます', 'クーポンの使い方tcovdopqdgk', 'ローソン', 'tcoqykwammki']"
3339,soda,"Struggle bugging hard after cleaning the bathroom. Didn’t even finish it, mind you! Just threw literal handfuls of bicarbonate soda at the walls and went to scrub town.","['struggl', 'bug', 'hard', 'clean', 'bathroom', 'even', 'finish', 'mind', 'threw', 'liter', 'hand', 'bicarbon', 'soda', 'wall', 'went', 'scrub', 'town']"
3341,soda,"@soda_chan1016 ？
大丈夫？何かあった？","['sodachan', '大丈夫', '何かあった', '']"
3343,soda,@estapersonita Jajajajaja te re entiendo! Me puse mal mientras tomaba el café pensando que queria tomar soda pero no en un frasco!!,"['estapersonita', 'jajajajaja', 'te', 'entiendo', 'puse', 'mal', 'mientra', 'tomaba', 'el', 'café', 'pensando', 'que', 'queria', 'tomar', 'soda', 'pero', 'en', 'un', 'frasco']"
3347,soda,"saya gak pernah minum susu soda, sekalinya minum sampe tumpeh-tumpeh","['saya', 'gak', 'pernah', 'minum', 'susu', 'soda', 'sekalinya', 'minum', 'samp', 'tumpehtumpeh']"
3356,soda,Ella me dió una soda envenenada… #musicalways,"['ella', 'dió', 'una', 'soda', 'envenenada', 'musicalway']"
3363,soda,"@BentDepraved @Nuddanomics @hrhpotatosalid @KaylaChowShow @TLW_Greywolf @noshitshow1 @Grape_soda @aaron8301 @BalkrishnaP @AndyWalker67 @wrestlechick207 @Rockster_67 @WMS56048028 @UniversalCandid Butt plugs, you say? Story, you say?","['bentdeprav', 'nuddanom', 'hrhpotatosalid', 'kaylachowshow', 'tlwgreywolf', 'noshitshow', 'grapesoda', 'aaron', 'balkrishnap', 'andywalk', 'wrestlechick', 'rockster', 'wm', 'universalcandid', 'butt', 'plug', 'say', 'stori', 'say']"
3365,soda,Dr. Pepper and Pepsi are god tier soda,"['dr', 'pepper', 'pepsi', 'god', 'tier', 'soda']"
3367,soda,my s/o spilled zero soda all over my new squishmallow :( how do i clean it? i’m afraid to put it in the washer and dryer lmao,"['spill', 'zero', 'soda', 'new', 'squishmallow', 'clean', 'afraid', 'put', 'washer', 'dryer', 'lmao']"
3373,soda,@Gabo_Tronquito Soda estéreo,"['gabotronquito', 'soda', 'estéreo']"
3376,soda,"@JonathanGins27 It can
Just pour a big love of it on to some wet baking soda and stand back. Actually, don't do that lol","['jonathangin', 'pour', 'big', 'love', 'wet', 'bake', 'soda', 'stand', 'back', 'actual', 'dont', 'lol']"
3378,soda,"@apple_soda_half 
ご応募ありがとうございます！
11/23まで使える「対象のオリジナルローソン菓子いずれか1個20円引券」を差し上げます
クーポンの使い方:t.co/NJClm2hYMl #ローソン t.co/OjbXJuWiG5","['applesodahalf', 'ご応募ありがとうございます', 'まで使える', '対象のオリジナルローソン菓子いずれか個円引券', 'を差し上げます', 'クーポンの使い方tconjclmhyml', 'ローソン', 'tcoojbxjuwig']"
3380,soda,"@B52Malmet Yep, me too, I'm over it, I don't think he will ever do one minute in jail. I just hope the burgers and diet soda's work their magic on his ass....QUICK.","['bmalmet', 'yep', 'im', 'dont', 'think', 'ever', 'one', 'minut', 'jail', 'hope', 'burger', 'diet', 'soda', 'work', 'magic', 'assquick']"
3381,soda,"no sé ustedes, pero me encanta cuando la soda está escarchada ;; 
aaaa","['sé', 'usted', 'pero', 'encanta', 'cuando', 'la', 'soda', 'está', 'escarchada', 'aaaa']"
3390,soda,I have a crush on orange soda,"['crush', 'orang', 'soda']"
3393,soda,"“Or did that worker seem familiar?”

“You think so?” Eijiro blinked. “I think needed to relax. Sounded like he really didn’t want to be here at all.”

“Yeah…” Izuku took a large sip of his soda. Cherry Vanilla Coke. His favorite when watching a movie. But… he never ordered it.","['', 'worker', 'seem', 'familiar', 'think', 'eijiro', 'blink', 'think', 'need', 'relax', 'sound', 'like', 'realli', 'want', 'yeah', 'izuku', 'took', 'larg', 'sip', 'soda', 'cherri', 'vanilla', 'coke', 'favorit', 'watch', 'movi', 'never', 'order']"
3408,soda,"#MYST 🎶¿Eres fan de Maná, Mecano, Los Chicos, Menudo o Soda Stereo?   🎶

¡Lo mejor de su música estará en este increíble show que viene a Guatemala! Entra a t.co/BhRcD9MmAa para más información.

Entérate en #NuestroDiario 📰 y descarga #NDPlay 📱
📷 ASA Promotion t.co/NqElV1dwqZ","['myst', 'ere', 'fan', 'de', 'maná', 'mecano', 'lo', 'chico', 'menudo', 'soda', 'stereo', 'lo', 'mejor', 'de', 'su', 'música', 'estará', 'en', 'est', 'increíbl', 'show', 'que', 'vien', 'guatemala', 'entra', 'tcobhrcdmmaa', 'para', 'má', 'información', 'entérat', 'en', 'nuestrodiario', 'descarga', 'ndplay', 'asa', 'promot', 'tconqelvdwqz']"
3411,soda,"ᴱⁿ ᵐᵒᵈᵒ ˢᵖᵒᵗⁱᶠʸ🎧
...""Picnic en el 4to B - Soda Stero""🎶
ᶠᵒˡˡᵒʷ😃 ᶠᴬⱽ❤️ ᴿᵀ🔁","['ᴱⁿ', 'ᵐᵒᵈᵒ', 'ˢᵖᵒᵗⁱᶠʸ', 'picnic', 'en', 'el', 'b', 'soda', 'stero', 'ᶠᵒˡˡᵒʷ', 'ᶠᴬⱽ', 'ᴿᵀ', '']"
3418,soda,"@Raimu___soda 
👏レイク新CM記念👏
＃レはレイクのレ キャンペーンに参加いただきありがとうございます！
その場で500名様にAmazonギフト券2,000円分が当たり、#千鳥 からのオリジナルメッセージも🌟
11/30まで毎日応募可能💪
抽選結果は動画をチェックしてね❣
応募規約▶️t.co/6kvHbKXcY6 t.co/xCpDVnFiIm","['raimusoda', 'レイク新cm記念', 'レはレイクのレ', 'キャンペーンに参加いただきありがとうございます', 'その場で名様にamazonギフト券円分が当たり', '千鳥', 'からのオリジナルメッセージも', 'まで毎日応募可能', '抽選結果は動画をチェックしてね', '応募規約', 'tcokvhbkxci', 'tcoxcpdvnfiim']"
3421,soda,"@IanDunt Restaurant I was at earlier tonight was selling three small scoops of ice cream for £7.50, £17 for a burger and chips, £3 for a soda and lime.","['iandunt', 'restaur', 'earlier', 'tonight', 'sell', 'three', 'small', 'scoop', 'ice', 'cream', 'burger', 'chip', 'soda', 'lime']"
3433,soda,"things my dog has tried to eat this weekend:

- cedar wood chips
- baking soda
- dirt
- watermelon seeds","['thing', 'dog', 'tri', 'eat', 'weekend', 'cedar', 'wood', 'chip', 'bake', 'soda', 'dirt', 'watermelon', 'seed']"
3443,soda,Next up at 141 Zach Soda,"['next', 'zach', 'soda']"
3444,soda,"133 | Edinboro's Cameron Soda ties the dual with an 8-2 decision over West Virginia's Davin Rhoads.

WVU 3 - EDIN 3
#HailWV","['', 'edinboro', 'cameron', 'soda', 'tie', 'dual', 'decis', 'west', 'virginia', 'davin', 'rhoad', 'wvu', 'edin', 'hailwv']"
3449,soda,Cam Soda dominates and gets a 7-2 decision at 133,"['cam', 'soda', 'domin', 'get', 'decis', '']"
3452,soda,"@sebtecnic Metele. Voy sacando las aceitunas ...
Trae soda.","['sebtecn', 'metel', 'voy', 'sacando', 'la', 'aceituna', 'trae', 'soda']"
3468,soda,"@mjaco129 Kiwi soda, Cola is a close second.","['mjaco', 'kiwi', 'soda', 'cola', 'close', 'second']"
3474,soda,@RipCityRedman @rwohan So you're claiming that black kids are held away of soccer through money? Any basketball is more expensive than a crushed soda can and two piles of shirts as a goal and that's all it takes to play if you want to. That's how Messi&amp;Co played as kids when they had no ball handy,"['ripcityredman', 'rwohan', 'your', 'claim', 'black', 'kid', 'held', 'away', 'soccer', 'money', 'basketbal', 'expens', 'crush', 'soda', 'two', 'pile', 'shirt', 'goal', 'that', 'take', 'play', 'want', 'that', 'messiampco', 'play', 'kid', 'ball', 'handi']"
