,topic,tweet,tweet_tokenized
5982,soda taxes,"Democrats claim they care for the poor but some of these #NannyState laws such as soda taxes, single use plastic laws that are being passed especially on the West Coast says otherwise.","['democrats', 'claim', 'they', 'care', 'for', 'the', 'poor', 'but', 'some', 'of', 'these', 'nannystate', 'laws', 'such', 'as', 'soda', 'taxes', 'single', 'use', 'plastic', 'laws', 'that', 'are', 'being', 'passed', 'especially', 'on', 'the', 'west', 'coast', 'says', 'otherwise']"
5984,soda taxes,"@Sunflower_dak I think because one is criminalised and labelled narcotic in our jurisdiction whereas the other isn't. Elsewhere, soda producing companies are heavily taxed cuz they deem sugar more harmful than the herb. In the end its all about jurisdiction and choices","['sunflowerdak', 'i', 'think', 'because', 'one', 'is', 'criminalised', 'and', 'labelled', 'narcotic', 'in', 'our', 'jurisdiction', 'whereas', 'the', 'other', 'isnt', 'elsewhere', 'soda', 'producing', 'companies', 'are', 'heavily', 'taxed', 'cuz', 'they', 'deem', 'sugar', 'more', 'harmful', 'than', 'the', 'herb', 'in', 'the', 'end', 'its', 'all', 'about', 'jurisdiction', 'and', 'choices']"
5991,soda taxes,@TonyBrunoShow @PhillyMayor @BreitbartNews But he got his soda tax.,"['tonybrunoshow', 'phillymayor', 'breitbartnews', 'but', 'he', 'got', 'his', 'soda', 'tax']"
5995,soda taxes,"Five years after #Philadelphia installed a soda tax, the results have landed.

What were they?

Liberty Nation's @andrewliberty23 discusses in this week's edition of #Swamponomics.

t.co/DcFdtwDGR3","['five', 'years', 'after', 'philadelphia', 'installed', 'a', 'soda', 'tax', 'the', 'results', 'have', 'landed', 'what', 'were', 'they', 'liberty', 'nations', 'andrewliberty', 'discusses', 'in', 'this', 'weeks', 'edition', 'of', 'swamponomics', 'tcodcfdtwdgr']"
5996,soda taxes,The UN chief has urged wealthy nations to tax fossil fuel companies and use the proceeds to compensate for damage from climate change and provide relief over rising prices. #RUKIGAFMUpdates #Evening_overdrive #mc_soda t.co/8oR7GihFXo,"['the', 'un', 'chief', 'has', 'urged', 'wealthy', 'nations', 'to', 'tax', 'fossil', 'fuel', 'companies', 'and', 'use', 'the', 'proceeds', 'to', 'compensate', 'for', 'damage', 'from', 'climate', 'change', 'and', 'provide', 'relief', 'over', 'rising', 'prices', 'rukigafmupdates', 'eveningoverdrive', 'mcsoda', 'tcoorgihfxo']"
5998,soda taxes,@lisaward4senate They tax food?  Wow. Even OH doesn't do that. Except soda. Which used to make it exempt from using food stamps for. They stopped even that tho.,"['lisawardsenate', 'they', 'tax', 'food', 'wow', 'even', 'oh', 'doesnt', 'do', 'that', 'except', 'soda', 'which', 'used', 'to', 'make', 'it', 'exempt', 'from', 'using', 'food', 'stamps', 'for', 'they', 'stopped', 'even', 'that', 'tho']"
6000,soda taxes,"""Five years after #Philadelphia installed a soda tax, the results have landed. The numbers prove again that politicians meddling in the affairs of private individuals will breed nothing more than public policy blunders.""

t.co/DcFdtwm5st","['five', 'years', 'after', 'philadelphia', 'installed', 'a', 'soda', 'tax', 'the', 'results', 'have', 'landed', 'the', 'numbers', 'prove', 'again', 'that', 'politicians', 'meddling', 'in', 'the', 'affairs', 'of', 'private', 'individuals', 'will', 'breed', 'nothing', 'more', 'than', 'public', 'policy', 'blunders', 'tcodcfdtwmst']"
6002,soda taxes,@Spideraxe30 Maybe there's a sugar tax? Or maybe it was just this restaurant. I will report back after drinking more soda,"['spideraxe', 'maybe', 'theres', 'a', 'sugar', 'tax', 'or', 'maybe', 'it', 'was', 'just', 'this', 'restaurant', 'i', 'will', 'report', 'back', 'after', 'drinking', 'more', 'soda']"
6006,soda taxes,"John Fetterman Supports Soda Taxes &amp; Claims They Aren’t Regressive, But Bernie Sanders Begs To Differ-We will be taxed to death with the Democrats! t.co/vyt8MXNU1Q","['john', 'fetterman', 'supports', 'soda', 'taxes', 'amp', 'claims', 'they', 'aren', 't', 'regressive', 'but', 'bernie', 'sanders', 'begs', 'to', 'differwe', 'will', 'be', 'taxed', 'to', 'death', 'with', 'the', 'democrats', 'tcovytmxnuq']"
6017,soda taxes,to their use as a substitute for other CO2 cannisters that are taxed. Like there is a tax arbitrage community for reverse engineering the most sales-tax-free soda fountain.,"['to', 'their', 'use', 'as', 'a', 'substitute', 'for', 'other', 'co', 'cannisters', 'that', 'are', 'taxed', 'like', 'there', 'is', 'a', 'tax', 'arbitrage', 'community', 'for', 'reverse', 'engineering', 'the', 'most', 'salestaxfree', 'soda', 'fountain']"
6018,soda taxes,"With sugar's link to obesity and an increased risk of #diabetes, soda taxes have been implemented in several cities across the U.S. with the aim of reducing sugar intake from sugar sweetened beverages. 

 Read more here: t.co/NmhX4VRd4D

@LozanoRojasF1 @Patrick242018 t.co/klAxyZAOGh","['with', 'sugars', 'link', 'to', 'obesity', 'and', 'an', 'increased', 'risk', 'of', 'diabetes', 'soda', 'taxes', 'have', 'been', 'implemented', 'in', 'several', 'cities', 'across', 'the', 'us', 'with', 'the', 'aim', 'of', 'reducing', 'sugar', 'intake', 'from', 'sugar', 'sweetened', 'beverages', 'read', 'more', 'here', 'tconmhxvrdd', 'lozanorojasf', 'patrick', 'tcoklaxyzaogh']"
6022,soda taxes,@kschorsch @WBEZpolitics @DanForCook @SeanMMorrison Sean you didn’t kill her soda tax that’s a bold face exaggeration by you. The fact is Commissioners Boykin and Tobolsky lead that initiative. You only got involved when you craved some media attention. The fact is you have been a complete failure to the voters of the 17 district,"['kschorsch', 'wbezpolitics', 'danforcook', 'seanmmorrison', 'sean', 'you', 'didn', 't', 'kill', 'her', 'soda', 'tax', 'that', 's', 'a', 'bold', 'face', 'exaggeration', 'by', 'you', 'the', 'fact', 'is', 'commissioners', 'boykin', 'and', 'tobolsky', 'lead', 'that', 'initiative', 'you', 'only', 'got', 'involved', 'when', 'you', 'craved', 'some', 'media', 'attention', 'the', 'fact', 'is', 'you', 'have', 'been', 'a', 'complete', 'failure', 'to', 'the', 'voters', 'of', 'the', 'district']"
6027,soda taxes,"I'm not an R or D &amp; this isn't a political tweet

but everything is taxed &amp; multiple times..taxes upon taxes

I don't see how one can argue the state is incapable of taxing when they've been doing a pretty good job of creating taxes for everything down to a soda tax, bag tax, etc","['im', 'not', 'an', 'r', 'or', 'd', 'amp', 'this', 'isnt', 'a', 'political', 'tweet', 'but', 'everything', 'is', 'taxed', 'amp', 'multiple', 'timestaxes', 'upon', 'taxes', 'i', 'dont', 'see', 'how', 'one', 'can', 'argue', 'the', 'state', 'is', 'incapable', 'of', 'taxing', 'when', 'theyve', 'been', 'doing', 'a', 'pretty', 'good', 'job', 'of', 'creating', 'taxes', 'for', 'everything', 'down', 'to', 'a', 'soda', 'tax', 'bag', 'tax', 'etc']"
6039,soda taxes,Least of it. Did you know much of your taxes for SNAP and other relief programs for hunger goes to soda and shit food?,"['least', 'of', 'it', 'did', 'you', 'know', 'much', 'of', 'your', 'taxes', 'for', 'snap', 'and', 'other', 'relief', 'programs', 'for', 'hunger', 'goes', 'to', 'soda', 'and', 'shit', 'food']"
6040,soda taxes,"Few things in life are certain: death, taxes, and apparently, Costco’s $1.50 hot-dog-and-soda combo.
t.co/3Whliugmi8","['few', 'things', 'in', 'life', 'are', 'certain', 'death', 'taxes', 'and', 'apparently', 'costco', 's', 'hotdogandsoda', 'combo', 'tcowhliugmi']"
6042,soda taxes,"Soda Taxes to help Fund Schools??? I can live with that.
Thanks Dr. OOZE for bringing it to my attention because I agree with it.
Taxes on cigarettes helped cut down on smoking.","['soda', 'taxes', 'to', 'help', 'fund', 'schools', 'i', 'can', 'live', 'with', 'that', 'thanks', 'dr', 'ooze', 'for', 'bringing', 'it', 'to', 'my', 'attention', 'because', 'i', 'agree', 'with', 'it', 'taxes', 'on', 'cigarettes', 'helped', 'cut', 'down', 'on', 'smoking']"
6046,soda taxes,watching an old SVU episode tangentially related to a potential soda tax lol,"['watching', 'an', 'old', 'svu', 'episode', 'tangentially', 'related', 'to', 'a', 'potential', 'soda', 'tax', 'lol']"
6050,soda taxes,"Democrat U.S. Senate candidate John Fetterman is on video endorsing a regressive soda tax, calling the tax “brilliant."" He has no problem imposing new taxes and government costs onto working familieson. t.co/q5PTecjyxx t.co/zdGYaV5PLO","['democrat', 'us', 'senate', 'candidate', 'john', 'fetterman', 'is', 'on', 'video', 'endorsing', 'a', 'regressive', 'soda', 'tax', 'calling', 'the', 'tax', 'brilliant', 'he', 'has', 'no', 'problem', 'imposing', 'new', 'taxes', 'and', 'government', 'costs', 'onto', 'working', 'familieson', 'tcoqptecjyxx', 'tcozdgyavplo']"
6054,soda taxes,"@Grape_soda @badpersonclub Oops meant to say what you DO, guess it's time to lower my taxes again","['grapesoda', 'badpersonclub', 'oops', 'meant', 'to', 'say', 'what', 'you', 'do', 'guess', 'its', 'time', 'to', 'lower', 'my', 'taxes', 'again']"
6055,soda taxes,"Democrat U.S. Senate candidate John Fetterman is on video endorsing a regressive soda tax, calling the tax “brilliant."" He has no problem imposing new taxes and government costs onto working familieson. t.co/q5PTecB9W7 t.co/DGK5SUT9Yg","['democrat', 'us', 'senate', 'candidate', 'john', 'fetterman', 'is', 'on', 'video', 'endorsing', 'a', 'regressive', 'soda', 'tax', 'calling', 'the', 'tax', 'brilliant', 'he', 'has', 'no', 'problem', 'imposing', 'new', 'taxes', 'and', 'government', 'costs', 'onto', 'working', 'familieson', 'tcoqptecbw', 'tcodgksutyg']"
6056,soda taxes,"@SJRichmond89 @nikhil_woodruff @Tweets_of_Oscar Prices address income effects more than substitution effects I think. To continue your analogy though: poor people spend on stuff I don't think is optimal, like soda. But I don't think price controls on soda are a substitute for fixing their extreme marginal tax rates.","['sjrichmond', 'nikhilwoodruff', 'tweetsofoscar', 'prices', 'address', 'income', 'effects', 'more', 'than', 'substitution', 'effects', 'i', 'think', 'to', 'continue', 'your', 'analogy', 'though', 'poor', 'people', 'spend', 'on', 'stuff', 'i', 'dont', 'think', 'is', 'optimal', 'like', 'soda', 'but', 'i', 'dont', 'think', 'price', 'controls', 'on', 'soda', 'are', 'a', 'substitute', 'for', 'fixing', 'their', 'extreme', 'marginal', 'tax', 'rates']"
6062,soda taxes,"@Phxflyer @kelliwardaz @bethieboop62 @RichardGrenell Fine city?
-Over 40k manufactures left Philly in the last 30yrs
-cost $19k per public school student &amp; over 60% can’t read their grade
-Sales tax 8%
-Crime rate skyrocketing
-Streets are horrible
-High soda tax
-high business tax
So please spare me about Fine. Dems ruined Philly","['phxflyer', 'kelliwardaz', 'bethieboop', 'richardgrenell', 'fine', 'city', 'over', 'k', 'manufactures', 'left', 'philly', 'in', 'the', 'last', 'yrs', 'cost', 'k', 'per', 'public', 'school', 'student', 'amp', 'over', 'can', 't', 'read', 'their', 'grade', 'sales', 'tax', 'crime', 'rate', 'skyrocketing', 'streets', 'are', 'horrible', 'high', 'soda', 'tax', 'high', 'business', 'tax', 'so', 'please', 'spare', 'me', 'about', 'fine', 'dems', 'ruined', 'philly']"
6064,soda taxes,"Democrat U.S. Senate candidate John Fetterman is on video endorsing a regressive soda tax, calling the tax “brilliant."" He has no problem imposing new taxes and government costs onto working familieson. t.co/q5PTecB9W7 t.co/Fatb2vVzKt","['democrat', 'us', 'senate', 'candidate', 'john', 'fetterman', 'is', 'on', 'video', 'endorsing', 'a', 'regressive', 'soda', 'tax', 'calling', 'the', 'tax', 'brilliant', 'he', 'has', 'no', 'problem', 'imposing', 'new', 'taxes', 'and', 'government', 'costs', 'onto', 'working', 'familieson', 'tcoqptecbw', 'tcofatbvvzkt']"
6074,soda taxes,"""Uncle Junson, tell me about the good old days.""

Me, ""Well, for $4.32 after sales tax, I bought 4 gordita supremes from Taco Bell. I also would bring in my own cup to leech off the soda machine without paying for it.

Wait, scratch that last sentence!""","['uncle', 'junson', 'tell', 'me', 'about', 'the', 'good', 'old', 'days', 'me', 'well', 'for', 'after', 'sales', 'tax', 'i', 'bought', 'gordita', 'supremes', 'from', 'taco', 'bell', 'i', 'also', 'would', 'bring', 'in', 'my', 'own', 'cup', 'to', 'leech', 'off', 'the', 'soda', 'machine', 'without', 'paying', 'for', 'it', 'wait', 'scratch', 'that', 'last', 'sentence']"
6075,soda taxes,"@sketchymicro Ye the sans soda was good but not worth 6 hours 😭😭😭 man that’s crazy, it was like 6 bucks with tax as well 💀","['sketchymicro', 'ye', 'the', 'sans', 'soda', 'was', 'good', 'but', 'not', 'worth', 'hours', 'man', 'that', 's', 'crazy', 'it', 'was', 'like', 'bucks', 'with', 'tax', 'as', 'well', '']"
6080,soda taxes,@ctlcsm @LeporidaeHops Idk dude soda taxes seem to exacerbate the culture war punditry (“these impulsive low impulse control liberals want to control what you do in your free time. Join me and fight for your right to  your relax however you choose!!” Type discourse),"['ctlcsm', 'leporidaehops', 'idk', 'dude', 'soda', 'taxes', 'seem', 'to', 'exacerbate', 'the', 'culture', 'war', 'punditry', 'these', 'impulsive', 'low', 'impulse', 'control', 'liberals', 'want', 'to', 'control', 'what', 'you', 'do', 'in', 'your', 'free', 'time', 'join', 'me', 'and', 'fight', 'for', 'your', 'right', 'to', 'your', 'relax', 'however', 'you', 'choose', 'type', 'discourse']"
6091,soda taxes,"New research, funded by a PolicyLab &amp; @CHOP_CPCE  pilot grant, examines whether the #PhillyBevTax was associated with reduced soda consumption among teens. 

Our team found that the tax was associated with a reduction of nearly 1 serving of soda per week per adolescent. t.co/azXx1IUgVZ","['new', 'research', 'funded', 'by', 'a', 'policylab', 'amp', 'chopcpce', 'pilot', 'grant', 'examines', 'whether', 'the', 'phillybevtax', 'was', 'associated', 'with', 'reduced', 'soda', 'consumption', 'among', 'teens', 'our', 'team', 'found', 'that', 'the', 'tax', 'was', 'associated', 'with', 'a', 'reduction', 'of', 'nearly', 'serving', 'of', 'soda', 'per', 'week', 'per', 'adolescent', 'tcoazxxiugvz']"
6096,soda taxes,Food and beverage industry interference in science and policy: efforts to block soda tax implementation in Mexico a… t.co/zT1IT4ht9s,"['food', 'and', 'beverage', 'industry', 'interference', 'in', 'science', 'and', 'policy', 'efforts', 'to', 'block', 'soda', 'tax', 'implementation', 'in', 'mexico', 'a', 'tcoztithts']"
6100,soda taxes,"NEW: The #PhillyBevTax helped to reduce soda consumption in teens by 1 serving of soda per week. 

Our latest Research at a Glance highlights PolicyLab research that examines tax’s impact on healthy behaviors in adolescents. 

Dive in ⤵️
t.co/NFf4s3AygD t.co/ZhU81ULhdU","['new', 'the', 'phillybevtax', 'helped', 'to', 'reduce', 'soda', 'consumption', 'in', 'teens', 'by', 'serving', 'of', 'soda', 'per', 'week', 'our', 'latest', 'research', 'at', 'a', 'glance', 'highlights', 'policylab', 'research', 'that', 'examines', 'tax', 's', 'impact', 'on', 'healthy', 'behaviors', 'in', 'adolescents', 'dive', 'in', 'tconffsaygd', 'tcozhuulhdu']"
6115,soda taxes,"The #PhillyBevTax helped to reduce soda consumption in teens by 1 serving of soda per week. 

Our latest Research at a Glance examines the tax’s impact on adolescents' healthy behaviors and whether parents perceive the tax as fair. 

Dive in ⤵️
t.co/NFf4s3AygD","['the', 'phillybevtax', 'helped', 'to', 'reduce', 'soda', 'consumption', 'in', 'teens', 'by', 'serving', 'of', 'soda', 'per', 'week', 'our', 'latest', 'research', 'at', 'a', 'glance', 'examines', 'the', 'tax', 's', 'impact', 'on', 'adolescents', 'healthy', 'behaviors', 'and', 'whether', 'parents', 'perceive', 'the', 'tax', 'as', 'fair', 'dive', 'in', 'tconffsaygd']"
6125,soda taxes,The boundary between Oppressive Seattle Soda Tax Land and No Soda Tax in White Center. t.co/yKVIKrFT8J,"['the', 'boundary', 'between', 'oppressive', 'seattle', 'soda', 'tax', 'land', 'and', 'no', 'soda', 'tax', 'in', 'white', 'center', 'tcoykvikrftj']"
6126,soda taxes,"@Pedro_GF @CocaCola_MX sure, taxes can help, but they won't solve the issue in total.

we'd argue that a lack of clean water infrastructure, education, and lack of government regulation has more impact.

if people don't have access to drinkable water, they are more likely to consume soda.","['pedrogf', 'cocacolamx', 'sure', 'taxes', 'can', 'help', 'but', 'they', 'wont', 'solve', 'the', 'issue', 'in', 'total', 'wed', 'argue', 'that', 'a', 'lack', 'of', 'clean', 'water', 'infrastructure', 'education', 'and', 'lack', 'of', 'government', 'regulation', 'has', 'more', 'impact', 'if', 'people', 'dont', 'have', 'access', 'to', 'drinkable', 'water', 'they', 'are', 'more', 'likely', 'to', 'consume', 'soda']"
6127,soda taxes,"@notthreadguy i have spent the last two days doing taxes (i filed an extension in april) 

nobody told me this sh1t is literally impossible. i thought blockchain was supposed to make this transparent. 
fkn dead. bury me now. been nice knowing everyone 😭😭😭 t.co/3Zw1o18RzF","['notthreadguy', 'i', 'have', 'spent', 'the', 'last', 'two', 'days', 'doing', 'taxes', 'i', 'filed', 'an', 'extension', 'in', 'april', 'nobody', 'told', 'me', 'this', 'sht', 'is', 'literally', 'impossible', 'i', 'thought', 'blockchain', 'was', 'supposed', 'to', 'make', 'this', 'transparent', 'fkn', 'dead', 'bury', 'me', 'now', 'been', 'nice', 'knowing', 'everyone', 'tcozworzf']"
6138,soda taxes,"They are all getting question on more soda tax spending; yes, no. All said yes","['they', 'are', 'all', 'getting', 'question', 'on', 'more', 'soda', 'tax', 'spending', 'yes', 'no', 'all', 'said', 'yes']"
6145,soda taxes,@rak_strong No money in illegal drugs for Pharma. Plenty of money in harmful food. My government here in my Province in Canada introduced a sugar tax on soda pop. I support that.,"['rakstrong', 'no', 'money', 'in', 'illegal', 'drugs', 'for', 'pharma', 'plenty', 'of', 'money', 'in', 'harmful', 'food', 'my', 'government', 'here', 'in', 'my', 'province', 'in', 'canada', 'introduced', 'a', 'sugar', 'tax', 'on', 'soda', 'pop', 'i', 'support', 'that']"
6158,soda taxes,@phdrunaway The studies that linked soda taxes to weight outcomes showed minimal impacts on weight,"['phdrunaway', 'the', 'studies', 'that', 'linked', 'soda', 'taxes', 'to', 'weight', 'outcomes', 'showed', 'minimal', 'impacts', 'on', 'weight']"
6159,soda taxes,"@harrisonfinberg @WillEvans215 The problem is that once prerogative came that close to actually being threatened, then you have to issue some punishment. Nevermind that development pays for NPI, and that there wasn't really a fight about it like the soda tax.","['harrisonfinberg', 'willevans', 'the', 'problem', 'is', 'that', 'once', 'prerogative', 'came', 'that', 'close', 'to', 'actually', 'being', 'threatened', 'then', 'you', 'have', 'to', 'issue', 'some', 'punishment', 'nevermind', 'that', 'development', 'pays', 'for', 'npi', 'and', 'that', 'there', 'wasnt', 'really', 'a', 'fight', 'about', 'it', 'like', 'the', 'soda', 'tax']"
6171,soda taxes,"A new study found that a group of 30 Philadelphia parents with average annual income under $50,000 felt pretty positively about the ""soda tax."" The parents also had suggestions for improving the sugary beverage tax's effectiveness. @PennLDI t.co/pYfApsJKOC","['a', 'new', 'study', 'found', 'that', 'a', 'group', 'of', 'philadelphia', 'parents', 'with', 'average', 'annual', 'income', 'under', 'felt', 'pretty', 'positively', 'about', 'the', 'soda', 'tax', 'the', 'parents', 'also', 'had', 'suggestions', 'for', 'improving', 'the', 'sugary', 'beverage', 'taxs', 'effectiveness', 'pennldi', 'tcopyfapsjkoc']"
6174,soda taxes,nothing like having your tax e-file  rejected because someone identity thefted you and already filed 😭😭😭,"['nothing', 'like', 'having', 'your', 'tax', 'efile', 'rejected', 'because', 'someone', 'identity', 'thefted', 'you', 'and', 'already', 'filed', '']"
6177,soda taxes,"KRA to collect extra Sh3bn from beer, juice, water taxes. 

Mpaka wale wa soda na Soya hehe","['kra', 'to', 'collect', 'extra', 'shbn', 'from', 'beer', 'juice', 'water', 'taxes', 'mpaka', 'wale', 'wa', 'soda', 'na', 'soya', 'hehe']"
6178,soda taxes,"@girl_nicki0510 Soda tax, ugh!","['girlnicki', 'soda', 'tax', 'ugh']"
6180,soda taxes,"@Qwerty_Soda But also the irs website does list how much is taken out for medicare, social security, and the last percentage is the tax bracket, or how much you made in that quarter. Plus, they have the form that you mail the check to!","['qwertysoda', 'but', 'also', 'the', 'irs', 'website', 'does', 'list', 'how', 'much', 'is', 'taken', 'out', 'for', 'medicare', 'social', 'security', 'and', 'the', 'last', 'percentage', 'is', 'the', 'tax', 'bracket', 'or', 'how', 'much', 'you', 'made', 'in', 'that', 'quarter', 'plus', 'they', 'have', 'the', 'form', 'that', 'you', 'mail', 'the', 'check', 'to']"
6182,soda taxes,"@Qwerty_Soda Definitly go back and look for any deductions, and it probably wouldn't be bad if you also did your taxes quarterly to avoid having higher than that in fees/penalties/ etc since you are technically self employed in tax law

Just save about 33% per 3 months","['qwertysoda', 'definitly', 'go', 'back', 'and', 'look', 'for', 'any', 'deductions', 'and', 'it', 'probably', 'wouldnt', 'be', 'bad', 'if', 'you', 'also', 'did', 'your', 'taxes', 'quarterly', 'to', 'avoid', 'having', 'higher', 'than', 'that', 'in', 'feespenalties', 'etc', 'since', 'you', 'are', 'technically', 'self', 'employed', 'in', 'tax', 'law', 'just', 'save', 'about', 'per', 'months']"
6183,soda taxes,I know I joke about tax evasion but we scared of federal prison tbh,"['i', 'know', 'i', 'joke', 'about', 'tax', 'evasion', 'but', 'we', 'scared', 'of', 'federal', 'prison', 'tbh']"
6184,soda taxes,I have to pay like 3500 in taxes sooooooo I need to speed up on commissions,"['i', 'have', 'to', 'pay', 'like', 'in', 'taxes', 'sooooooo', 'i', 'need', 'to', 'speed', 'up', 'on', 'commissions']"
6195,soda taxes,"Did the unmarried or widowed women who paid state property taxes qualify politically as “taxpayers” in the 19th and early 20th centuries, even though they couldn’t yet vote? Does a 12-year-old who buys a soda at the corner market with his allowance qualify?","['did', 'the', 'unmarried', 'or', 'widowed', 'women', 'who', 'paid', 'state', 'property', 'taxes', 'qualify', 'politically', 'as', 'taxpayers', 'in', 'the', 'th', 'and', 'early', 'th', 'centuries', 'even', 'though', 'they', 'couldn', 't', 'yet', 'vote', 'does', 'a', 'yearold', 'who', 'buys', 'a', 'soda', 'at', 'the', 'corner', 'market', 'with', 'his', 'allowance', 'qualify']"
6198,soda taxes,"@Venommoe Plot twist : Bilal is on stilts and papa's cloaks so he won't pay for movie ticket and also illegal smuggled soda pops. ah, he knew how to fight the unrighteous social tax system of very young age. what a proud fighter he is.","['venommoe', 'plot', 'twist', 'bilal', 'is', 'on', 'stilts', 'and', 'papas', 'cloaks', 'so', 'he', 'wont', 'pay', 'for', 'movie', 'ticket', 'and', 'also', 'illegal', 'smuggled', 'soda', 'pops', 'ah', 'he', 'knew', 'how', 'to', 'fight', 'the', 'unrighteous', 'social', 'tax', 'system', 'of', 'very', 'young', 'age', 'what', 'a', 'proud', 'fighter', 'he', 'is']"
6208,soda taxes,"@fmahmad88 @CMonteiro_USP How did health change?  Guessing health improved since soda decreased.  Is it weird that soda intake decreased without a tax, right?","['fmahmad', 'cmonteirousp', 'how', 'did', 'health', 'change', 'guessing', 'health', 'improved', 'since', 'soda', 'decreased', 'is', 'it', 'weird', 'that', 'soda', 'intake', 'decreased', 'without', 'a', 'tax', 'right']"
6213,soda taxes,"4. Finally, I think it calls a secondary question as well: what is a beer, and should it matter to the way distribution and tax laws are written? It’s noteworthy that Blue Cloud distributes hard Mountain Dew soda. 

Many, many other issues at play. Read Kate’s piece.","['', 'finally', 'i', 'think', 'it', 'calls', 'a', 'secondary', 'question', 'as', 'well', 'what', 'is', 'a', 'beer', 'and', 'should', 'it', 'matter', 'to', 'the', 'way', 'distribution', 'and', 'tax', 'laws', 'are', 'written', 'it', 's', 'noteworthy', 'that', 'blue', 'cloud', 'distributes', 'hard', 'mountain', 'dew', 'soda', 'many', 'many', 'other', 'issues', 'at', 'play', 'read', 'kate', 's', 'piece']"
6214,soda taxes,"If we lower taxes maybe the companies will be able to give more jobs and not hoard the money for themselves and itll spur movement in the economy 

Couple days later: Yeah in hindsight actually i guess that was fucking stupid 😳👉👈 t.co/yPvyF09ci9","['if', 'we', 'lower', 'taxes', 'maybe', 'the', 'companies', 'will', 'be', 'able', 'to', 'give', 'more', 'jobs', 'and', 'not', 'hoard', 'the', 'money', 'for', 'themselves', 'and', 'itll', 'spur', 'movement', 'in', 'the', 'economy', 'couple', 'days', 'later', 'yeah', 'in', 'hindsight', 'actually', 'i', 'guess', 'that', 'was', 'fucking', 'stupid', 'tcoypvyfci']"
6215,soda taxes,"THE OLD DAYS WERE BETTER AMERICA WAS DOING SO MUCH, yeah cuz dipshits like this were getting taxed out the ass 

reagan cut that shit down from like 70 percent to like 25.","['the', 'old', 'days', 'were', 'better', 'america', 'was', 'doing', 'so', 'much', 'yeah', 'cuz', 'dipshits', 'like', 'this', 'were', 'getting', 'taxed', 'out', 'the', 'ass', 'reagan', 'cut', 'that', 'shit', 'down', 'from', 'like', 'percent', 'to', 'like', '']"
6216,soda taxes,"Its funny how the UK cut taxes on the rich and basically fucked up their entire economy and the PM had to resign after 44 days because of it. Almost like the opposite of what youre force fed is true. 

Lowering taxes on rich bad Raising taxes on the rich good","['its', 'funny', 'how', 'the', 'uk', 'cut', 'taxes', 'on', 'the', 'rich', 'and', 'basically', 'fucked', 'up', 'their', 'entire', 'economy', 'and', 'the', 'pm', 'had', 'to', 'resign', 'after', 'days', 'because', 'of', 'it', 'almost', 'like', 'the', 'opposite', 'of', 'what', 'youre', 'force', 'fed', 'is', 'true', 'lowering', 'taxes', 'on', 'rich', 'bad', 'raising', 'taxes', 'on', 'the', 'rich', 'good']"
6217,soda taxes,"Rich people are so unafraid of a revolution that they can look you in the face and laugh at you as someone accurately states that while record breaking inflation, war and a virus is killing off people the gap between rich and poor is increasing

Return to preReagan 75 percent tax t.co/fpibQLHkLj","['rich', 'people', 'are', 'so', 'unafraid', 'of', 'a', 'revolution', 'that', 'they', 'can', 'look', 'you', 'in', 'the', 'face', 'and', 'laugh', 'at', 'you', 'as', 'someone', 'accurately', 'states', 'that', 'while', 'record', 'breaking', 'inflation', 'war', 'and', 'a', 'virus', 'is', 'killing', 'off', 'people', 'the', 'gap', 'between', 'rich', 'and', 'poor', 'is', 'increasing', 'return', 'to', 'prereagan', 'percent', 'tax', 'tcofpibqlhklj']"
6219,soda taxes,"Fetterman Supports Soda Taxes &amp; Claims They Aren’t Regressive, But Bernie Sanders Begs To Differ t.co/Bn2DxCmN8x via @patrickmgleason #PAsen 

#FettermanIsNoEveryman","['fetterman', 'supports', 'soda', 'taxes', 'amp', 'claims', 'they', 'aren', 't', 'regressive', 'but', 'bernie', 'sanders', 'begs', 'to', 'differ', 'tcobndxcmnx', 'via', 'patrickmgleason', 'pasen', 'fettermanisnoeveryman']"
6220,soda taxes,"Fetterman endorsed a soda tax that was even too radical for Bernie Sanders, who called it “regressive” and “increasing taxes on low income and working people.” t.co/4rJbgvAG9y #PAsen","['fetterman', 'endorsed', 'a', 'soda', 'tax', 'that', 'was', 'even', 'too', 'radical', 'for', 'bernie', 'sanders', 'who', 'called', 'it', 'regressive', 'and', 'increasing', 'taxes', 'on', 'low', 'income', 'and', 'working', 'people', 'tcorjbgvagy', 'pasen']"
6221,soda taxes,"Video: Fetterman called soda tax ""brilliant"" t.co/GEpUfcfUIP
#PASen","['video', 'fetterman', 'called', 'soda', 'tax', 'brilliant', 'tcogepufcfuip', 'pasen']"
6227,soda taxes,@Northernlion i did this and i can’t stop snapping all the time now. buying a soda snap. hey can i get a sandwich snap. oh look it’s tax time again snap,"['northernlion', 'i', 'did', 'this', 'and', 'i', 'can', 't', 'stop', 'snapping', 'all', 'the', 'time', 'now', 'buying', 'a', 'soda', 'snap', 'hey', 'can', 'i', 'get', 'a', 'sandwich', 'snap', 'oh', 'look', 'it', 's', 'tax', 'time', 'again', 'snap']"
